Overall Rank,Country,Station ID,Station name,Height,Easting,Northing,Latitude,Longitude
0,Dublin,175,phoenix_park,48,309915,236070,532149,62059
1,Galway,275,mace_head,21,73400,232276,531933,95403
2,Carlow,375,oak_park,62,273000,179500,525140,65455
3,Clare,518,shannon_airport,15,137900,160300,524125,85505
4,Dublin,532,dublin_airport,71,316900,243400,532540,61427
5,Cork,575,moore_park,46,181900,101400,520950,81550
6,Cavan,675,ballyhaise,78,245200,311600,540305,71835
7,Cork,775,sherkinisland,21,100781,25801,512835,92540
8,Westmeath,875,mullingar,101,243000,254300,533214,72144
9,Cork,1075,roches_point,40,182779,60625,514735,81440
10,Mayo,1175,newport,22,96731,298267,535525,93422
11,Sligo,1275,markree,34,169860,325582,541030,82720
12,Meath,1375,dunsany,83,288898,252606,533057,63936
13,Tipperary,1475,gurteen,75,199466,198376,530211,80031
14,Donegal,1575,malin_head,20,241939,458562,552219,72021
15,Wexford,1775,johnstownii,62,302631,117200,521752,62948
16,Roscommon,1975,mt_dillon,39,201306,275240,534337,75851
17,Donegal,2075,finner,33,184300,360635,542938,81435
18,Mayo,2175,claremorris,68,134523,273883,534239,85933
19,Kerry,2275,valentia_observatory,24,45940,78555,515618,101427
20,Mayo,2375,belmullet,9,69170,332818,541339,100025
21,Dublin,3723,casement,91,304100,229500,531820,62620
22,Cork,3904,cork_airport,155,166500,66200,515050,82910
23,Mayo,4935,knock_airport,201,146783,296363,535422,84902
